delta_r_m,bin_low_m,bin_high_m,count,pdf
1.354665768566214,1.2147562341122295,1.5106893819452072,175,0.01170943276890825
1.6846830130929393,1.5106893819452072,1.8787163585868412,60,0.0032282192201664606
2.095097492282415,1.8787163585868412,2.336400320413332,384,0.016613339979568542
2.605495198832346,2.336400320413332,2.905583076592557,131,0.004557335314224418
3.240233572015232,2.905583076592557,3.6134274341682695,241,0.006741719677576028
4.029603894844932,3.6134274341682695,4.4937134743061495,754,0.016960511807967423
5.011276868923546,4.4937134743061495,5.5884506212060465,590,0.010671699291929342
6.232100353370979,5.5884506212060465,6.94988243559085,764,0.0111119143670855
7.7503350603794425,6.94988243559085,8.642979806469217,918,0.010736238939077712
9.638434900307063,8.642979806469217,10.748541522441435,955,0.008981043884460868
11.986504661246094,10.748541522441435,13.367050189469758,967,0.007312466353691459
14.906600032075447,13.367050189469758,16.623467509033585,905,0.005503005485603912
18.538075176718912,16.623467509033585,20.673197759187655,1013,0.0049530734891228625
23.054233059061552,20.673197759187655,25.709504070569665,757,0.002976289454882432
28.670595888456067,25.709504070569665,31.97273142036692,757,0.002393255829458168
35.655190371907096,31.97273142036692,39.761776488295645,727,0.0018481687242548003
44.341338610573146,39.761776488295645,49.44835174445151,783,0.0016006004239805215
55.143565053761364,49.44835174445151,61.49472448653689,867,0.0014251291482367287
68.57737862955118,61.49472448653689,76.47577737713785,1118,0.0014777157040284613
85.28387410418324,76.47577737713785,95.10644326438079,1446,0.0015368494920185182
106.06032670785069,95.10644326438079,118.27582354337626,1812,0.0015485855342649124
131.89824007800632,118.27582354337626,147.0896182709326,2419,0.0016623667086589893
164.03066326202105,147.0896182709326,182.92289290341873,2813,0.0015544424811141171
203.99103486343688,182.92289290341873,227.4856998168446,3399,0.0015103237394442338
253.686362519822,227.4856998168446,282.90468623018535,3337,0.0011923096271243183
315.48823001767,282.90468623018535,351.8245830636308,2602,0.0007475738406329148
392.3459751286598,351.8245830636308,437.5344180307556,2012,0.0004648242100998552
487.9274392931783,437.5344180307556,544.124476165126,1225,0.00022756780055334136
606.7940060736654,544.124476165126,676.6814983253753,793,0.00011845731117029756
754.6182816451316,676.6814983253753,841.5314330335622,724,8.69643407730649e-05
938.45480557354,841.5314330335622,1046.5413263641533,648,6.25880770655254e-05
1167.0767108690716,1046.5413263641533,1301.4947568148177,724,5.623013533506625e-05
1451.3943995635866,1301.4947568148177,1618.5587318384196,728,4.5464864563298805e-05
1804.9762140449964,1618.5587318384196,2012.8643274919777,786,3.947126346026677e-05
2244.695951870715,2012.8643274919777,2503.228780760861,787,3.1779508367720684e-05
2791.538125066486,2503.228780760861,3113.0534945875424,778,2.526189925182249e-05
3471.599392873382,3113.0534945875424,3871.440810623024,757,1.9764973713540884e-05
4317.333958787252,3871.440810623024,4814.582844855118,866,1.8181604792156047e-05
5369.1023653135635,4814.582844855118,5987.488664780298,936,1.580171155593464e-05
6677.097598748959,5987.488664780298,7446.1322332799855,1065,1.4457454985678301e-05
8303.740422467321,7446.1322332799855,9260.123624388643,1188,1.296798923858266e-05
10326.658249931352,9260.123624388643,11516.030987968119,1656,1.4535517323333918e-05
12842.389716607839,11516.030987968119,14321.511795648128,1791,1.2640949788362668e-05
15970.991742108932,14321.511795648128,17810.450521293464,937,5.317869445040234e-06
19861.76894294454,17810.450521293464,22149.347938800314,340,1.551639965074207e-06
24700.39881761437,22149.347938800314,27545.266950294295,206,7.559502590220751e-07
30717.792735472005,27545.266950294295,34255.71413927922,195,5.754062448810477e-07
38201.1155976368,34255.71413927922,42600.92862085973,193,4.5794279283498237e-07
47507.49005539132,42600.92862085973,52979.16464332595,152,2.900089942360879e-07
59081.03928521724,52979.16464332595,65885.69726459638,125,1.917749384486586e-07
73474.0816437904,65885.69726459638,81936.45810134312,84,1.036275152477516e-07
91373.48866422415,81936.45810134312,101897.42910713197,69,6.84476984144801e-08
113633.46426224732,101897.42910713197,126721.19712327135,26,2.073944195190128e-08
141316.30945700282,126721.19712327135,157592.4136758332,11,7.055541706423034e-09
175743.11799963453,157592.4136758332,195984.32947264248,3,1.5472941827417424e-09
218556.82223028044,195984.32947264248,243729.10156608326,0,0.0
271800.59786749515,243729.10156608326,303105.228413184,0,0.0
338015.3694003176,303105.228413184,376946.2854500319,0,0.0
420361.0692811393,376946.2854500319,468776.1503106962,3,6.468874593994919e-10
