delta_r_m,bin_low_m,bin_high_m,count,pdf
0.8863092913367576,0.8063918481002474,0.9741469507169545,10,0.00021014028713357366
1.0706897590567823,0.9741469507169545,1.1768004399185956,627,0.01090682928428112
1.2934272170610688,1.1768004399185956,1.4216122879339395,15,0.0002159950940964311
1.5625011369382293,1.4216122879339395,1.7173527716768784,580,0.006913568575998648
1.8875509736687324,1.7173527716768784,2.0746166640642505,266,0.002624687309498346
2.2802214948651462,2.0746166640642505,2.5062027871015005,1427,0.011655785894468584
2.7545799494565304,2.5062027871015005,3.0275725240587414,839,0.005672848721534268
3.3276200207018416,3.0275725240587414,3.657403716734511,1325,0.007416120420927019
4.019870617427678,3.657403716734511,4.418259790933378,1648,0.0076355399821315395
4.856131313169028,4.418259790933378,5.337398081283702,2808,0.010769642946255537
5.866360779997171,5.337398081283702,6.447746313277055,3132,0.009943690729781365
7.086750044786354,6.447746313277055,7.789082224569429,3454,0.009077574911477704
8.56101901685351,7.789082224569429,9.40945858495914,4242,0.009228685069594933
10.341982734504217,9.40945858495914,11.366924665756185,4583,0.008253547827968359
12.493443440579327,11.366924665756185,13.731605829426949,4626,0.006896330982535921
15.0924762697776,13.731605829426949,16.588215739899802,4853,0.005988863478848694
18.232190431498648,16.588215739899802,20.03909119236224,4902,0.005007593673203711
22.025064806368533,20.03909119236224,24.20785828399382,5498,0.004649242123748943
26.606977452728344,24.20785828399382,29.24386126459097,6035,0.004224510134362048
32.14207337838553,29.24386126459097,35.327512728711824,6655,0.0038562820870580864
38.828644963412856,35.327512728711824,42.676756817624444,7110,0.003410452375634495
46.90623569755834,42.676756817624444,51.55487697242894,8359,0.0033190849432984627
56.66422172053851,51.55487697242894,62.27992794767935,10086,0.0033151612631735737
68.45217859512618,62.27992794767935,75.23612998325007,11971,0.0032571501506988196
82.69240469812492,75.23612998325007,90.88763332564865,14103,0.003176438914725128
99.89504987421019,90.88763332564865,109.7951462067045,15204,0.002834709220402504
120.67639133001565,109.7951462067045,132.63602196966534,16662,0.0025715764439313803
145.78091149434155,132.63602196966534,160.22852495517037,16042,0.002049521479211843
176.10796877412957,160.22852495517037,193.56114446180587,16984,0.0017962037413166666
212.7440166743203,193.56114446180587,233.82800694100223,17820,0.001560073172134375
257.0015255174087,233.82800694100223,282.471655052598,17330,0.001255907011199011
310.4660011162039,282.471655052598,341.2347261219483,15157,0.00090927201779872
375.05278482309075,341.2347261219483,412.22238135659666,12230,0.0006073355261675001
453.0756697926045,412.22238135659666,497.9777223217776,10871,0.00044688253097476324
547.3297916047871,497.9777223217776,601.5728964368551,9430,0.00032089077224239996
661.1917627694903,601.5728964368551,726.7191553070818,7657,0.0002156879268542145
798.7406383862589,726.7191553070818,877.8998086820778,5990,0.00013967403025695987
964.9040465014209,877.8998086820778,1060.5308370581756,4555,8.792226691735661e-05
1165.6347182182303,1060.5308370581756,1281.154916800558,3171,5.0667373414266604e-05
1408.1237416737183,1281.154916800558,1547.675808649973,2034,2.6903250229702074e-05
1701.0581796122945,1547.675808649973,1869.6415064792927,1254,1.373007761688908e-05
2054.932279592499,1869.6415064792927,2258.586289979755,732,6.634499875273707e-06
2482.4234257958633,2258.586289979755,2728.4439351641104,476,3.5712949140258552e-06
2998.846300746272,2728.4439351641104,3296.046885771426,320,1.987423378643308e-06
3622.7015270839306,3296.046885771426,3981.729268169871,236,1.213316412308939e-06
4376.338444244478,3981.729268169871,4810.055352501452,133,5.660246744781684e-07
5286.7557637266145,4810.055352501452,5810.699556869214,88,3.100188123285826e-07
6386.568786071516,5810.699556869214,7019.509520330386,50,1.458132646882722e-07
7715.177829677441,7019.509520330386,8479.790328818402,31,7.483596730435787e-08
9320.179729898511,8479.790328818402,10243.855900823339,18,3.5970199058687205e-08
11259.072974762887,10243.855900823339,12374.903110541341,14,2.3159011860336248e-08
13601.317563048375,12374.903110541341,14949.275788131446,12,1.643216884899358e-08
16430.82337822616,14949.275788131446,18059.199703894676,4,4.534143778028145e-09
19848.956223176086,18059.199703894676,21816.086515981886,6,5.629997473212979e-09
23978.169205546765,21816.086515981886,26354.525044106154,2,1.5534904885697144e-09
28966.389566545753,26354.525044106154,31837.102854886532,0,0.0
34992.31810937411,31837.102854886532,38460.23089000053,2,1.0645152938339706e-09
42271.83107700117,38460.23089000053,46461.17980189008,0,0.0
51065.71382373854,46461.17980189008,56126.58007065669,2,7.294494682421552e-10
